cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
12,0.313549,-63.472396,8.5725715000E+01,2.3538431000E+01,85.7256300,23.5384699,0.7681,0.9208,0.0893,null,null,null,null,14.810,null,1.4,8.249E-01,9.484,0.105,10.3,1.121E+00,7.209,null,1.3,6.398E-01,2,0,null,0.000,0.000,0.000,0000,XUAU,0,55266.574994,null,null,null,null,null,null,null
13,1.060798,-136.177968,8.5769819000E+01,2.3449282000E+01,85.7695966,23.4490694,0.9436,1.0763,0.1379,16.239,null,1.2,6.276E-01,14.981,0.343,3.2,1.115E+00,9.732,0.137,7.9,8.740E-01,7.272,null,1.3,1.078E+00,2,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55266.641083,null,null,null,null,null,null,null
14,0.936502,102.070655,8.5814129000E+01,2.3359422000E+01,85.8144061,23.3593676,0.6417,0.7338,-0.0608,16.274,null,1.6,8.798E-01,15.236,0.492,2.2,4.840E-01,9.331,0.091,12.0,1.081E+00,7.351,0.364,3.0,1.070E+00,1,0,0.000,0.000,0.000,0.000,0000,UCAC,0,55266.707298,null,null,null,null,null,null,null
15,0.421103,-113.690876,8.5858442000E+01,2.3269735000E+01,85.8583254,23.2696880,0.6167,0.6997,0.1024,16.738,null,0.4,7.329E-01,14.519,0.232,4.7,9.410E-01,9.353,0.094,11.6,4.600E-01,7.276,0.323,3.4,2.019E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55266.773387,null,null,null,null,null,null,null
16,0.083036,-6.867022,8.5902962000E+01,2.3179334000E+01,85.9029590,23.1793569,0.6771,0.7781,-0.1489,16.888,null,null,7.397E-01,14.798,0.282,3.9,1.057E+00,9.441,0.099,10.9,2.267E+00,7.435,0.386,2.8,2.022E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAC,0,55266.839602,null,null,null,null,null,null,null
17,0.822119,103.393906,8.5947485000E+01,2.3089108000E+01,85.9477265,23.0890551,0.8093,0.9704,0.0752,16.142,null,1.7,2.283E+00,14.453,0.228,4.8,6.317E-01,9.731,0.141,7.7,1.234E+00,7.653,null,null,6.378E-01,3,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55266.905691,null,null,null,null,null,null,null
18,0.242228,71.455131,8.5992215000E+01,2.2998166000E+01,85.9922843,22.9981874,0.4678,0.5442,0.0722,16.657,null,0.5,1.490E+00,14.827,0.301,3.6,1.577E+00,9.039,0.068,16.0,8.025E-01,7.727,0.488,2.2,1.134E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,0,55266.971906,null,null,null,null,null,null,null
19,0.574735,-19.165569,8.6036947000E+01,2.2907400000E+01,86.0368901,22.9075508,0.7995,0.9412,0.1231,16.143,null,1.7,1.251E+00,14.624,null,1.9,1.125E+00,9.570,0.114,9.6,4.688E-01,7.250,null,1.5,9.208E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55267.037995,null,null,null,null,null,null,null
20,3.682492,-45.536754,8.6126832000E+01,2.2724600000E+01,86.1260405,22.7253165,0.6909,0.7732,-0.2054,15.264,0.139,7.8,1.281E+00,14.509,0.281,3.9,1.853E+00,10.134,0.213,5.1,2.565E+00,7.722,null,0.2,1.672E+00,1,0,0.000,0.000,0.000,0.000,0000,BBBU,0,55267.170299,118989284,15.886,0.076,15.486,0.116,15.333,0.156
21,0.763297,91.351225,8.6217141000E+01,2.2540697000E+01,86.2173705,22.5406920,0.8223,0.9650,0.1124,16.962,null,null,6.075E-01,14.949,0.378,2.9,9.266E-01,9.566,0.118,9.2,9.000E-01,7.714,0.500,2.2,7.291E-01,2,0,0.000,0.000,0.000,0.000,0000,UCBC,0,55267.302603,null,null,null,null,null,null,null
22,0.920153,77.481932,8.6307874000E+01,2.2355689000E+01,86.3081438,22.3557444,0.9102,1.0097,-0.1696,16.549,null,0.9,1.010E+00,14.427,0.227,4.8,1.132E+00,9.778,0.172,6.3,5.646E-01,7.456,0.388,2.8,1.612E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBC,0,55267.434907,null,null,null,null,null,null,null
23,0.814616,-177.138079,8.6399032000E+01,2.2169574000E+01,86.3990198,22.1693480,1.0221,1.1675,-0.1147,16.756,0.475,2.3,1.864E+00,14.931,0.305,3.6,1.477E+00,9.933,0.176,6.2,6.434E-01,7.130,null,1.8,1.006E+00,1,0,0.000,0.000,0.000,0.000,0000,CBBU,0,55267.567211,null,null,null,null,null,null,null
24,0.381287,-22.712446,8.6490508000E+01,2.1982801000E+01,86.4904639,21.9828987,0.4581,0.5525,-0.1065,16.866,null,null,1.329E+00,14.300,0.180,6.0,8.962E-01,9.201,0.079,13.7,7.102E-01,6.433,0.152,7.2,1.276E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55267.699387,null,null,null,null,null,null,null
25,0.093041,-121.750417,8.6490617000E+01,2.1982338000E+01,86.4905933,21.9823244,0.6432,0.7580,-0.0788,16.321,null,1.6,2.387E+00,14.168,0.159,6.8,1.378E+00,9.624,0.116,9.4,6.281E-01,7.268,null,0.8,1.164E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55267.699515,null,null,null,null,null,null,null
26,0.786996,-57.019815,8.6582520000E+01,2.1794432000E+01,86.5823225,21.7945510,0.6157,0.7169,-0.0750,16.899,null,0.1,1.130E+00,14.964,0.335,3.2,1.344E+00,9.449,0.099,11.0,8.010E-01,6.841,0.211,5.1,1.578E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55267.831691,null,null,null,null,null,null,null
27,1.007987,61.756410,8.6674962000E+01,2.1604936000E+01,86.6752273,21.6050685,0.8264,0.9614,-0.0477,16.766,null,null,5.152E-01,14.613,0.244,4.5,7.117E-01,9.796,0.132,8.2,1.655E+00,7.294,null,1.5,9.525E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55267.963995,null,null,null,null,null,null,null
28,0.491430,-165.233652,9.6140882000E+01,1.1513580000E+00,96.1408472,1.1512260,0.4039,0.4477,0.1247,16.215,null,1.8,8.635E-01,13.935,0.180,6.0,7.983E-01,8.723,0.058,18.8,7.367E-01,7.017,0.239,4.5,1.018E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55279.075370,null,null,null,null,null,null,null
29,0.274929,-127.983329,9.6276375000E+01,8.5175100000E-01,96.2763148,0.8517040,0.3893,0.4495,0.1040,16.594,null,0.7,8.431E-01,13.624,0.130,8.3,1.085E+00,8.848,0.057,19.0,1.178E+00,7.102,0.289,3.8,1.222E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55279.207674,null,null,null,null,null,null,null
