	Name	Diam	Class	H	time
256	2014 CG13	0.098	S*	22.4	-1
257	2016 LG49	0.098	S*	22.4	-1
258	2011 SE248	0.098	S*	22.4	-1
259	2020 RO6	0.098	S*	22.4	-1
260	2011 XL1	0.098	S*	22.4	-1
261	2013 PC7	0.098	S*	22.4	-1
262	2011 LY20	0.098	S*	22.4	-1
263	2001 UF5	0.098	S*	22.4	-1
264	2020 TB12	0.098	S*	22.41	-1
265	2015 MN44	0.098	S*	22.4	-1
266	2000 WN148	0.098	S*	22.4	-1
267	2002 BF25	0.097	S*	22.42	-1
268	2021 FK3	0.095	S*	22.47	-1
269	2015 KJ19	0.095	S*	22.47	-1
270	2005 ML13	0.094	S*	22.49	-1
271	2001 WV1	0.094	S*	22.5	-1
272	2015 OM21	0.094	S*	22.5	-1
273	2017 FH101	0.094	S*	22.5	-1
274	2004 BW18	0.094	S*	22.5	-1
275	Derm6e	0.094	S*	22.5	0
276	Derm8e	0.094	S*	22.49	0
277	2014 OZ337	0.094	S*	22.5	-1
278	2014 SX261	0.094	S*	22.5	-1
279	2013 UG1	0.094	S*	22.5	-1
280	2007 KE	0.094	S*	22.5	-1
281	2009 WW104	0.094	S*	22.5	-1
282	2000 WH10	0.094	S*	22.5	-1
283	2013 CR35	0.094	S*	22.49	-1
284	2002 FD6	0.094	S*	22.51	-1
285	1995 HM	0.094	S*	22.5	-1
286	2020 UZ5	0.094	S*	22.51	-1
287	Derm3h	0.094	S*	22.49	0
288	2012 GD5	0.094	S*	22.5	-1
289	2016 PB8	0.094	S*	22.5	-1
290	2018 XY2	0.092	S*	22.54	-1
291	2018 TS	0.091	S*	22.58	-1
292	2011 QT2	0.091	S*	22.58	-1
293	2014 QX266	0.091	S*	22.58	-1
294	2011 LS17	0.09	S*	22.6	-1
295	2015 PQ56	0.09	S*	22.6	-1
296	2007 RQ17	0.09	S*	22.6	-1
297	2011 UM21	0.09	S*	22.6	-1
298	2015 TD144	0.09	S*	22.6	-1
299	2012 BF86	0.09	S*	22.6	-1
300	2003 EZ16	0.09	S*	22.6	-1
301	2001 BF10	0.09	S*	22.6	-1
302	2019 OM	0.09	S*	22.6	-1
303	1999 SH10	0.09	S*	22.6	-1
304	2019 WC5	0.09	S*	22.6	-1
305	2007 PD8	0.09	S*	22.6	-1
306	2007 LT	0.09	S*	22.6	-1
307	2007 GY1	0.09	S*	22.6	-1
308	2007 RH1	0.09	S*	22.6	-1
309	2017 CR32	0.09	S*	22.6	-1
310	2015 VZ2	0.09	S*	22.6	-1
311	2004 HZ	0.09	S*	22.6	-1
312	2014 TZ	0.09	S*	22.6	-1
313	2015 TJ1	0.09	S*	22.6	-1
314	2011 KN17	0.09	S*	22.6	-1
315	2017 AG5	0.089	S*	22.63	-1
316	2014 SF145	0.089	S*	22.61	-1
317	2012 DW30	0.087	S*	22.67	-1
318	2011 XF	0.086	S*	22.7	-1
319	2001 CQ36	0.086	S*	22.7	-1
320	2000 WQ148	0.086	S*	22.7	-1
321	2000 WP19	0.086	S*	22.7	-1
322	2007 DX	0.086	S*	22.7	-1
323	2004 SC56	0.086	S*	22.7	-1
324	2014 TZ17	0.086	S*	22.7	-1
325	2014 UV115	0.086	S*	22.7	-1
326	YORP	0.086	S*	22.7	0
327	2014 WQ201	0.086	S*	22.7	-1
328	2009 HG60	0.086	S*	22.7	-1
329	2015 EL7	0.086	S*	22.7	-1
330	2015 BK509	0.086	S*	22.68	-1
331	2012 BK11	0.086	S*	22.7	-1
332	2013 WS43	0.086	S*	22.7	-1
333	2009 HM82	0.086	S*	22.7	-1
334	2002 GD10	0.086	S*	22.7	-1
335	2016 JG12	0.086	S*	22.7	-1
336	2012 CO46	0.086	S*	22.7	-1
337	2015 VA106	0.086	S*	22.7	-1
338	2000 SJ344	0.086	S*	22.7	-1
339	2015 PQ	0.086	S*	22.7	-1
340	2016 AU65	0.086	S*	22.7	-1
341	2020 TG3	0.086	S*	22.68	-1
342	2020 UQ6	0.086	S*	22.7	-1
343	2018 XU6	0.084	S*	22.31	-1
344	2017 XS	0.084	S*	22.74	-1
345	2019 DN	0.083	S*	22.77	-1
346	2001 DS8	0.082	S*	22.8	-1
347	2011 RY	0.082	S*	22.8	-1
348	2010 GL23	0.082	S*	22.8	-1
349	2011 GM62	0.082	S*	22.8	-1
350	2011 RH1	0.082	S*	22.8	-1
351	2010 GZ5	0.082	S*	22.8	-1
352	2014 VP	0.082	S*	22.8	-1
353	2018 QU1	0.082	S*	22.8	-1
354	2013 UE3	0.082	S*	22.8	-1
355	2018 AF3	0.082	S*	22.8	-1
356	2007 EO	0.082	S*	22.8	-1
357	2015 TG238	0.082	S*	22.8	-1
358	2007 RE2	0.082	S*	22.8	-1
359	2006 CL9	0.082	S*	22.8	-1
360	2015 KS121	0.082	S*	22.8	-1
361	2009 DO111	0.082	S*	22.8	-1
362	2017 VU	0.081	S*	22.81	-1
363	2008 GG2	0.08	S*	22.86	-1
364	Derm1a	0.079	S*	22.88	0
365	2015 FG120	0.078	S*	22.9	-1
366	2014 OL339	0.078	S*	22.9	-1
367	2015 QA	0.078	S*	22.9	-1
368	2015 CW13	0.078	S*	22.9	-1
369	2011 YH40	0.078	S*	22.9	-1
370	2002 XY38	0.078	S*	22.9	-1
371	2013 XA22	0.078	S*	22.9	-1
372	2009 EM1	0.078	S*	22.9	-1
373	2007 XO3	0.078	S*	22.9	-1
374	2008 GU20	0.078	S*	22.9	-1
375	2001 WR5	0.078	S*	22.9	-1
376	2008 CP116	0.078	S*	22.9	-1
377	2015 KU121	0.078	S*	22.9	-1
378	2015 RO36	0.078	S*	22.9	-1
379	2018 RQ2	0.078	S*	22.9	-1
380	2014 TL17	0.078	S*	22.9	-1
381	2016 NF23	0.078	S*	22.9	-1
382	2011 GO65	0.077	S*	22.92	-1
383	2021 CC2	0.076	S*	22.96	-1
384	2010 GX23	0.075	S*	23.0	-1
385	2009 UO3	0.075	S*	23.0	-1
386	2007 UG6	0.075	S*	23.0	-1
387	2008 WA14	0.075	S*	23.0	-1
388	2007 UC2	0.075	S*	23.0	-1
389	2015 LA2	0.075	S*	23.0	-1
390	2015 LN21	0.075	S*	23.0	-1
391	2016 GS2	0.075	S*	23.0	-1
392	2006 UP	0.075	S*	23.0	-1
393	2011 YU74	0.075	S*	23.0	-1
394	2010 EC43	0.075	S*	23.0	-1
395	2010 XE11	0.075	S*	23.0	-1
396	2015 CW12	0.075	S*	23.0	-1
397	2019 BG1	0.073	S*	23.04	-1
398	2012 CL29	0.071	S*	23.1	-1
399	2012 GM11	0.071	S*	23.1	-1
400	2012 FA14	0.071	S*	23.1	-1
401	2014 CP13	0.071	S*	23.1	-1
402	2011 UT91	0.071	S*	23.1	-1
403	2016 JP17	0.071	S*	23.1	-1
404	2010 UX6	0.071	S*	23.1	-1
405	2013 ET	0.071	S	23.1	-1
406	2004 UR	0.071	S*	23.1	-1
407	2004 BB75	0.071	S*	23.1	-1
408	1999 TY2	0.071	S*	23.1	-1
409	2013 YL2	0.071	S*	23.1	-1
410	2011 AA37	0.07	S*	23.13	-1
411	2021 GG11	0.07	S*	23.13	-1
412	2019 UD4	0.069	S*	23.18	-1
413	2008 WD14	0.069	S*	23.16	-1
414	2012 FR52	0.068	S*	23.2	-1
415	1999 NW2	0.068	S*	23.2	-1
416	2017 EA3	0.068	S*	23.2	-1
417	2000 WG63	0.068	S*	23.2	-1
418	1997 UR	0.068	S*	23.2	-1
419	2017 VC	0.068	S*	23.2	-1
420	2006 YH14	0.068	S*	23.2	-1
421	2015 WF13	0.068	S*	23.2	-1
422	2015 LG14	0.068	S*	23.2	-1
423	2011 HO53	0.068	S*	23.2	-1
424	2015 TW237	0.068	S*	23.2	-1
425	2014 OV3	0.068	S*	23.2	-1
426	2010 VB1	0.068	S*	23.2	-1
427	2015 DT	0.067	S*	23.24	-1
428	2017 BY93	0.066	S*	23.28	-1
429	2015 CN13	0.065	S*	23.3	-1
430	2007 TS24	0.065	S*	23.3	-1
431	2015 SY	0.065	S*	23.3	-1
432	2010 CD55	0.065	S*	23.3	-1
433	2011 OV17	0.065	S*	23.3	-1
434	2017 BL30	0.065	S*	23.3	-1
435	2011 RX	0.065	S*	23.3	-1
436	2011 SN26	0.065	S*	23.3	-1
437	2014 HS184	0.065	S*	23.3	-1
438	2011 OE	0.065	S*	23.3	-1
439	2010 MG1	0.065	S*	23.3	-1
440	2015 HW11	0.065	S*	23.3	-1
441	2007 RS146	0.065	S*	23.3	-1
442	2014 JR25	0.065	S*	23.3	-1
443	2015 TL143	0.065	S*	23.3	-1
444	2013 PH10	0.065	S*	23.3	-1
445	2019 NJ5	0.063	S*	23.36	-1
446	2013 WA44	0.063	S*	23.37	-1
447	2014 EK24	0.063	S*	23.38	-1
448	2015 HU9	0.062	S*	23.4	-1
449	2008 VU3	0.062	S*	23.4	-1
450	2015 YE	0.062	S*	23.4	-1
451	2002 EC	0.062	S*	23.4	-1
452	2015 RF36	0.062	S*	23.4	-1
453	2014 UT33	0.062	S*	23.4	-1
454	2005 EQ95	0.062	S*	23.4	-1
455	2009 UY19	0.062	S*	23.4	-1
456	2007 RY9	0.062	S*	23.4	-1
457	2016 EV27	0.062	S*	23.4	-1
458	2018 JX	0.062	S*	23.4	-1
459	2000 WG10	0.062	S*	23.4	-1
460	2015 MQ116	0.062	S*	23.4	-1
461	2013 PR43	0.062	S*	23.4	-1
462	2014 WZ4	0.059	S*	23.5	-1
463	2016 RJ18	0.059	S*	23.5	-1
464	2011 AV55	0.059	S*	23.5	-1
465	2016 HN2	0.059	S*	23.5	-1
466	2015 CF	0.059	S*	23.5	-1
467	2014 HN178	0.059	S*	23.5	-1
468	2016 RL20	0.059	S*	23.5	-1
469	2016 EC157	0.059	S*	23.5	-1
470	2020 DD	0.059	S*	23.5	-1
471	2019 UD13	0.059	S*	23.5	-1
472	2007 PS9	0.059	S*	23.5	-1
473	2016 CB30	0.059	S*	23.5	-1
474	2010 WC9	0.059	S*	23.5	-1
475	2015 AZ43	0.059	S*	23.5	-1
476	2017 BW	0.059	S*	23.49	-1
477	2000 TL1	0.059	S*	23.5	-1
478	2009 XO2	0.059	S*	23.5	-1
479	2015 SZ	0.059	S*	23.5	-1
480	2007 LW19	0.059	S*	23.5	-1
481	2007 HD84	0.059	S*	23.5	-1
482	2021 EB1	0.058	S*	23.56	-1
483	2016 BE	0.058	S*	23.55	-1
