Name	Diam	WiseData_time
2016 RT33	0.049	-1
2016 RW	0.068	2016 10 15.85003
2016 SA2	0.007	-1
2016 SW1	0.006	-1
2016 SZ1	0.016	-1
2016 TB11	0.027	2016 09 29.40274
2016 TB57	0.018	2016 11 04.77060
2016 TD18	0.057	-1
2016 TL2	0.108	-1
2016 TM56	0.012	2016 10 12.89336
2016 TX17	0.059	2016 10 13.89220
2016 TZ19	0.07	2016 10 29.52288
2016 UD41	0.082	2016 10 17.72369
2016 UE	0.024	-1
2016 UH101	0.086	2010 08 05.860102
2016 UZ25	0.142	2016 11 16.66565
2016 VA	0.009	-1
2016 VK6	0.098	2016 11 14.44602
2016 VP4	0.043	-1
2016 WB8	0.02	-1
2016 WG7	0.019	-1
2016 WL7	0.041	-1
2016 WN48	0.033	2016 11 12.26599
2016 WP	0.124	-1
2016 WQ	0.024	-1
2016 WZ8	0.006	-1
2016 XA18	0.071	2016 12 12.60699
2016 XR23	0.025	-1
2016 YC8	0.036	2017 01 16.315971
2016 YF	0.025	-1
2016 YF8	0.098	2016 12 22.86879
2016 YH3	0.037	-1
2016 YM	0.118	-1
2016 YM1	0.113	-1
2016 YM3	0.013	-1
2017 AE3	0.13	-1
2017 AG5	0.089	-1
2017 AP19	0.057	2017 01 08.808093
2017 AR4	0.033	-1
2017 AS4	0.013	-1
2017 AT4	0.014	-1
2017 BJ30	0.014	-1
2017 BK	0.047	-1
2017 BL30	0.065	-1
2017 BM123	0.052	-1
2017 BM3	0.075	2017 02 10.201120
2017 BQ6	0.156	2017 02 07.264822
2017 BS32	0.011	-1
2017 BS5	0.042	-1
2017 BT	0.103	-1
2017 BU	0.027	-1
2017 BW	0.059	-1
2017 BY93	0.066	-1
2017 CF32	0.015	-1
2017 CP32	0.047	-1
2017 CR32	0.09	-1
2017 CX31	0.028	2017 02 03.712461
2017 DA36	0.028	-1
2017 DA38	0.03	-1
2017 DC36	0.109	2017 02 17.962650
2017 DL34	0.02	-1
2017 DT34	0.008	2017 02 24.572662
2017 DV15	0.027	-1
2017 DW34	0.068	2017 03 04.226721
2017 EA3	0.068	-1
2017 EE3	0.019	-1
2017 EE4	0.03	-1
2017 EH4	0.045	-1
2017 EK	0.043	2017 03 15.690618
2017 EK3	0.016	-1
2017 EL4	0.025	2017 03 05.076959
2017 ER13	0.142	2017 02 02.307152
2017 EZ2	0.028	-1
2017 FH101	0.094	-1
2017 FJ	0.007	-1
2017 FK	0.01	-1
2017 FL127	0.078	2017 03 24.25019
2017 GK4	0.142	-1
2017 GM4	0.118	-1
2017 HN3	0.142	-1
2017 HP49	0.078	2017 05 30.979806
2017 HU49	0.015	-1
2017 HV3	0.054	-1
2017 JA2	0.034	-1
2017 JF3	0.13	-1
2017 JM2	0.041	-1
2017 KJ27	0.025	-1
2017 KO31	0.065	2017 05 16.92896
2017 KR27	0.059	2017 06 04.995648
2017 LD	0.009	-1
2017 LE	0.016	-1
2017 MB5	0.086	2017 07 10.308843
2017 MC1	0.039	-1
2017 MO8	0.019	-1
2017 NH	0.149	-1
2017 PL26	0.108	2017 08 24.593844
2017 PR25	0.155	-1
2017 PS25	0.156	-1
2017 QB35	0.004	-1
2017 QG18	0.012	-1
2017 QK	0.052	-1
2017 QL33	0.157	-1
2017 QR35	0.026	-1
2017 QT1	0.014	-1
2017 QU17	0.018	-1
2017 QW1	0.017	-1
2017 QX1	0.033	-1
2017 RB	0.007	-1
2017 RB16	0.023	-1
2017 RN17	0.136	2017 09 10.02666
2017 RS2	0.016	-1
2017 RU2	0.023	-1
2017 RV2	0.017	-1
2017 ST14	0.059	2017 10 03.856693
2017 UC3	0.086	2017 10 23.856777
2017 UK8	0.007	-1
2017 UQ4	0.047	2017 10 22.36476
2017 VA15	0.028	-1
2017 VC	0.068	-1
2017 VC14	0.007	-1
2017 VG1	0.038	-1
2017 VT14	0.073	2017 11 13.76517
2017 VU	0.081	-1
2017 VV12	0.007	-1
2017 VY13	0.016	-1
2017 VZ14	0.028	-1
2017 WK14	0.13	2017 11 21.416657
2017 WX12	0.113	-1
2017 XO2	0.098	2017 11 11.46315
2017 XS	0.084	-1
2017 YF7	0.057	-1
2017 YR3	0.026	-1
2017 YW3	0.015	-1
2018 AE3	0.156	2018 01 10.30606
2018 AE4	0.034	2018 01 11.239829
2018 AF3	0.082	-1
2018 AJ	0.037	-1
2018 AO18	0.149	-1
2018 AQ2	0.113	-1
2018 BG1	0.024	-1
2018 BT6	0.137	-1
2018 CB	0.02	-1
2018 CZ2	0.156	2018 03 04.338780
2018 DT	0.011	-1
2018 DY3	0.022	-1
2018 EB	0.13	2018 03 01.87465
2018 EC9	0.045	2018 03 14.78653
2018 EE	0.13	2018 03 10.606391
2018 EH	0.039	-1
2018 EJ4	0.156	-1
2018 GE3	0.052	-1
2018 JK3	0.136	-1
2018 JW1	0.098	2018 05 07.26307
2018 JX	0.062	-1
2018 KF1	0.021	-1
2018 LK	0.133	-1
2018 LN2	0.068	2018 06 13.69634
2018 LQ2	0.031	-1
2018 ML8	0.124	2018 06 18.39409
2018 NT1	0.124	2018 07 07.24848
2018 QN1	0.156	-1
2018 QT1	0.103	2018 08 28.27896
2018 QU1	0.082	-1
2018 RC	0.031	-1
2018 RQ2	0.078	-1
2018 TD4	0.118	2019 03 19.261241
2018 TS	0.091	-1
2018 UQ1	0.116	-1
2018 UQ2	0.124	2018 10 17.178844
2018 UY1	0.045	-1
2018 VN3	0.138	-1
2018 WD1	0.025	2018 11 24.14568
2018 XA	0.054	-1
2018 XU6	0.084	-1
2018 XY2	0.092	-1
2018 XZ2	0.142	2019 01 08.833169
2019 AW4	0.152	-1
2019 BE5	0.028	-1
2019 BF5	0.112	-1
2019 BG1	0.073	-1
2019 CD5	0.112	-1
2019 CE5	0.055	-1
2019 CL2	0.065	2019 03 16.894666
2019 DD2	0.142	2010 02 23.025410
2019 DN	0.083	-1
2019 EA2	0.021	-1
2019 ER1	0.057	2019 03 29.37583
2019 FD	0.065	2019 03 16.903324
2019 FP2	0.108	-1
2019 JR7	0.113	2019 05 07.92534
2019 JU5	0.047	2019 05 04.699375
2019 JX7	0.149	-1
2019 KC	0.098	2019 05 16.46412
2019 KZ3	0.043	-1
2019 MB4	0.019	-1
2019 NC1	0.137	2021 09 06.35090
2019 ND7	0.156	2019 07 13.90771
2019 NJ5	0.063	-1
2019 NN3	0.034	-1
2019 OM	0.09	-1
2019 QD6	0.142	2019 11 27.02968
2019 RC	0.13	-1
2019 UC	0.044	-1
2019 UD13	0.059	-1
2019 UD4	0.069	-1
2019 UN12	0.12	-1
2019 UR12	0.043	-1
2019 WC5	0.09	-1
2019 WH1	0.149	2019 11 18.88196
2019 WV	0.026	-1
2019 WV4	0.062	2019 12 22.58590
2019 XN1	0.13	-1
2019 YW2	0.042	-1
2020 AD3	0.137	-1
2020 BJ4	0.124	2020 03 10.98564
2020 BN11	0.09	2020 01 17.945515
2020 BZ11	0.108	-1
2020 DD	0.059	-1
2020 DM4	0.142	-1
2020 DP4	0.026	-1
2020 GF2	0.019	-1
2020 HE2	0.156	2020 05 15.38665
2020 HL7	0.075	2020 05 17.74406
2020 HV1	0.094	2020 05 25.72687
2020 KB3	0.033	-1
2020 KK7	0.017	-1
2020 KZ7	0.094	2020 05 31.95255
2020 MV	0.062	2020 06 17.21281
2020 OH3	0.035	-1
2020 OT7	0.045	2020 07 21.055745
2020 QU4	0.142	2020 10 04.14999
2020 RA6	0.019	-1
2020 RK2	0.041	2020 11 01.49935
2020 RO6	0.098	-1
2020 RZ6	0.015	-1
2020 SN	0.033	-1
2020 SP4	0.124	2020 09 20.51338
2020 ST1	0.118	-1
2020 SW	0.005	-1
2020 TB12	0.098	-1
2020 TD8	0.012	-1
2020 TG3	0.086	-1
2020 TP1	0.014	-1
2020 UA	0.006	-1
2020 UF2	0.13	2020 10 24.23053
2020 UQ6	0.086	-1
2020 UZ5	0.094	-1
2020 VZ6	0.03	-1
2020 WT5	0.104	2020 11 29.90131
2020 XX3	0.006	-1
2020 YA5	0.038	-1
2020 YE5	0.021	-1
2021 AU	0.04	-1
2021 AZ	0.041	-1
2021 CC2	0.076	-1
2021 CO	0.026	-1
2021 DP	0.014	-1
2021 DW1	0.03	-1
2021 DX1	0.051	-1
2021 EB1	0.058	-1
2021 EL4	0.02	-1
2021 EX1	0.031	-1
2021 FH	0.013	-1
2021 FK3	0.095	-1
2021 GG11	0.07	-1
2021 GJ3	0.054	-1
2021 GQ10	0.014	-1
2021 HC3	0.143	-1
2021 HN	0.012	-1
2021 JB6	0.005	-1
2021 JR3	0.03	-1
2021 KN2	0.006	-1
2021 NY1	0.119	-1
2021 RS	0.027	-1
2021 UH2	0.026	-1
333P/LINEAR		0
47P/Ashbrook-Jackson		0
49P/Arend-Rigaux		0
67P/Churyumov-Gerasimenko		0
93P/Lovas		0
94P/Russell 4		0
C/2017 T2  (PanSTARRS)		0
Derm0f	0.135	0
Derm1a	0.079	0
Derm1c	0.133	0
Derm2g	0.155	0
Derm3h	0.094	0
Derm3k	0.107	0
Derm4c	0.103	0
Derm5f	0.13	0
Derm5i	0.149	0
Derm6c	0.147	0
Derm6e	0.094	0
Derm6f	0.103	0
Derm6k	0.117	0
Derm7d	0.118	0
Derm7e	0.11	0
Derm7o	0.148	0
Derm8e	0.094	0
P/2006 HR30		0
P/2016 BA14		0
P000DV		0
P000K7		0
P000TQ		0
P000ZE		0
P0012V		0
P001GV		0
P002I1		0
P002I6		0
P002RZ		0
YORP	0.086	0
Mjolnir	0.142	0
2003 MA3	0.136	2010 06 26.44404
2000 EH26	0.136	-1
1996 XB27	0.136	-1
2006 UP	0.075	-1
2005 EE	0.157	-1
2007 RQ17	0.09	-1
1993 VD	0.149	2018 01 21.646799
Akhenaten	0.136	-1
2000 SJ344	0.086	-1
2008 GG2	0.08	-1
1998 KG3	0.106	-1
2002 NV16	0.156	-1
2010 KX7	0.124	2010 05 16.26929
Duende	0.047	-1
2009 CP5	0.149	-1
2008 QF	0.134	-1
2009 FD	0.113	-1
2010 DF1	0.119	-1
2011 EM51	0.124	-1
2008 WJ60	0.15	-1
1994 CB	0.156	2010 03 24.402501
2000 AC6	0.149	-1
2007 YJ	0.124	2015 02 13.74898
2013 NX	0.113	-1
1999 MN	0.156	-1
2010 NY65	0.158	2010 07 14.14345
1998 FL3	0.118	2015 09 07.65532
2002 XY38	0.078	-1
2011 AK5	0.149	-1
2006 KV89	0.157	-1
2013 BZ45	0.127	2014 02 05.944297
2005 BO1	0.156	-1
2014 EK24	0.063	-1
2010 FR	0.136	2016 03 21.944528
2004 KH17	0.124	-1
2014 KQ76	0.136	-1
Kamo`oalewa	0.041	0
2002 LT24	0.116	2010 06 21.48526
2009 SC15	0.122	-1
2011 BT15	0.136	2016 09 18.090888
2013 UE3	0.082	-1
2001 RU17	0.149	-1
2005 UO	0.113	-1
2009 XZ1	0.136	-1
2012 WK4	0.148	-1
2005 ES70	0.052	-1
2008 CM20	0.149	2017 02 27.80056
2011 PT	0.049	-1
2012 CO46	0.086	-1
2014 SD224	0.1	2014 08 15.197690
2002 FD6	0.094	-1
2010 CO1	0.124	2010 01 31.56071
2005 XB1	0.118	-1
2010 FH81	0.142	2010 03 30.777419
2015 JA2	0.159	-1
2012 HM1	0.156	-1
2009 JL1	0.153	-1
2010 CF19	0.136	-1
2014 OA2	0.149	-1
1999 LK1	0.113	2018 05 10.635102
2009 UX17	0.149	2010 02 16.014575
2009 TK	0.103	-1
2007 CA27	0.157	-1
2008 HS3	0.154	-1
2011 LT17	0.134	-1
2014 AY28	0.122	-1
2014 QX266	0.091	-1
2015 BY310	0.13	-1
2012 NP	0.16	-1
