Name	Diam	type	PHA	search?
2012 CM29	0.113	Amor	Near	True
2012 CZ52	0.136	Mars	-1	True
2012 DE54	0.124	Mars	-1	True
2012 DR32	0.033	Aten	Near	True
2012 DV32	0.13	Amor	Near	True
2012 DW30	0.087	Amor	Near	True
2012 EG5	0.041	Apollo	Near	True
2012 FA14	0.071	Amor	Near	True
2012 FG58	0.118	Apollo	Potentially	True
2012 FP52	0.036	Amor	Near	True
2012 FR52	0.068	Amor	Near	True
2012 FT62	0.033	Apollo	Near	True
2012 GD5	0.094	Amor	Near	True
2012 GF1	0.113	Mars	-1	True
2012 GG11	0.136	Mars	-1	True
2012 GK	0.098	Apollo	Near	True
2012 GM11	0.071	Hungaria	-1	True
2012 GY17	0.124	Mars	-1	True
2012 HG2	0.012	Apollo	Near	True
2012 HH31	0.052	Amor	Near	True
2012 HM	0.045	Apollo	Near	True
2012 JU11	0.03	Amor	Near	True
2012 KN11	0.124	Apollo	Potentially	True
2012 KP24	0.014	Apollo	Near	True
2012 KT42	0.005	Apollo	Near	True
2012 KU12	0.142	Apollo	Potentially	True
2012 TC4	0.014	Apollo	Near	True
2012 TV	0.027	Apollo	Near	True
2012 UX136	0.023	Apollo	Near	True
2012 VP76	0.048	Amor	Near	True
2012 XE54	0.025	Apollo	Near	True
2012 XO134	0.042	Aten	Near	True
2012 XQ93	0.136	Apollo	Near	True
2012 XS111	0.107	Aten	Potentially	True
2012 YN6	0.101	Amor	Near	True
2013 BS45	0.02	Aten	Near	True
2013 CR35	0.094	Apollo	Near	True
2013 ET	0.071	Apollo	Near	True
2013 NH4	0.021	Apollo	Near	True
2013 NJ	0.104	Apollo	Potentially	True
2013 NQ8	0.118	Apollo	Near	True
2013 PC7	0.098	Amor	Near	True
2013 PH10	0.065	Amor	Near	True
2013 PH3	0.054	Amor	Near	True
2013 PJ10	0.036	Apollo	Near	True
2013 PR43	0.062	Apollo	Near	True
2013 QR1	0.142	Apollo	Potentially	True
2013 SB21	0.012	Amor	Near	True
2013 SO19	0.13	Amor	Near	True
2013 SR	0.045	Amor	Near	True
2013 SU24	0.037	Apollo	Near	True
2013 SY19	0.033	Amor	Near	True
2013 TE6	0.13	Amor	Near	True
2013 TG6	0.014	Aten	Near	True
2013 TL	0.108	Apollo	Near	True
2013 UE1	0.039	Apollo	Near	True
2013 UG1	0.094	Aten	Near	True
2013 UH5	0.045	Apollo	Near	True
2013 VA10	0.103	Apollo	Near	True
2013 VJ2	0.142	Amor	Near	True
2013 WA44	0.063	Amor	Near	True
2013 WS43	0.086	Apollo	Near	True
2013 XA22	0.078	Apollo	Near	True
2013 XA4	0.149	Amor	Near	True
2013 XV8	0.13	Amor	Near	True
2013 XX8	0.031	Amor	Near	True
2013 XY20	0.023	Amor	Near	True
2013 XY8	0.03	Apollo	Near	True
2013 YG	0.025	Aten	Near	True
2013 YL2	0.071	Apollo	Near	True
2013 YP139	0.142	Apollo	Potentially	True
2013 YS2	0.054	Amor	Near	True
2014 AG16	0.086	Apollo	Near	True
2014 BE63	0.068	Apollo	Near	True
2014 BH25	0.142	Apollo	Near	True
2014 BR43	0.149	Amor	Near	True
2014 BR57	0.049	Apollo	Near	True
2014 BR8	0.136	Apollo	Near	True
2014 BX2	0.13	Apollo	Potentially	True
2014 CG13	0.098	Amor	Near	True
2014 CP13	0.071	Amor	Near	True
2014 CR	0.094	Apollo	Near	True
2014 CS13	0.047	Apollo	Near	True
2014 CU13	0.124	Apollo	Potentially	True
2014 DF80	0.022	Amor	Near	True
2014 DH10	0.021	Amor	Near	True
2014 DJ80	0.016	Aten	Near	True
2014 DX110	0.022	Apollo	Near	True
2014 EM	0.025	Apollo	Near	True
2014 EQ49	0.13	Apollo	Potentially	True
2014 EY24	0.045	Amor	Near	True
2014 FA44	0.033	Amor	Near	True
2014 FA7	0.014	Apollo	Near	True
2014 FB44	0.024	Amor	Near	True
2014 FD	0.024	Apollo	Near	True
2014 FD7	0.149	Amor	Near	True
2014 FF	0.043	Amor	Near	True
2014 FP47	0.103	Apollo	Near	True
2014 FR52	0.049	Amor	Near	True
2014 GG49	0.022	Apollo	Near	True
2014 GN1	0.045	Apollo	Near	True
2014 GQ17	0.011	Aten	Near	True
2014 HB177	0.007	Apollo	Near	True
2014 HE177	0.021	Amor	Near	True
2014 HF5	0.026	Amor	Near	True
2014 HM2	0.13	Amor	Near	True
2014 HN178	0.059	Amor	Near	True
2014 HO132	0.022	Apollo	Near	True
2014 HS184	0.065	Amor	Near	True
2014 HS4	0.018	Amor	Near	True
2014 HT46	0.014	Apollo	Near	True
2014 HW	0.006	Apollo	Near	True
2014 JD	0.016	Apollo	Near	True
2014 JJ55	0.026	Apollo	Near	True
2014 JL25	0.075	Apollo	Near	True
