,Name,Diam,Class,H,time,type,PHA
183,2010 FD7,0.113,S*,22.1,2010,Apollo,Near
184,2010 CA55,0.108,S*,22.2,2010,Apollo,Near
185,2002 LT24,0.116,S*,22.05,2010,Aten,Near
186,2010 DH77,0.156,S*,21.4,2010,Apollo,Near
187,2016 UH101,0.086,S*,22.7,2010,Apollo,Near
188,2010 FC81,0.13,S*,21.8,2010,Amor,Potentially
189,2019 DD2,0.142,S*,21.6,2010,Apollo,Potentially
190,2010 BC,0.108,S*,22.2,2010,Apollo,Near
191,2010 XP69,0.156,S*,21.4,2010,Amor,Potentially
192,2010 AJ30,0.084,S*,22.74,2010,Aten,Near
193,2010 AG40,0.118,S*,22.0,2010,Apollo,Potentially
194,2010 DX1,0.142,S*,21.6,2010,Apollo,Near
195,2010 EX11,0.045,S*,24.1,2010,Aten,Near
196,2010 FA81,0.098,S*,22.4,2010,Amor,Near
197,2010 CO1,0.124,S*,21.9,2010,Apollo,Potentially
198,2010 BH115,0.0,C*,99.99,2010,Main,-1
199,2010 FH81,0.142,S*,21.6,2010,Apollo,Potentially
200,2010 MY1,0.049,S*,23.9,2010,Apollo,Near
201,2008 NP3,0.081,S*,22.83,2010,Apollo,Near
202,2010 LH14,0.113,S*,22.11,2010,Apollo,Near
203,2003 MA3,0.136,S*,21.7,2010,Apollo,Potentially
204,2010 LJ68,0.086,S*,22.7,2010,Apollo,Near
205,2010 LK68,0.094,S*,22.5,2010,Apollo,Near
206,2010 LL68,0.078,S*,22.9,2010,Apollo,Near
207,2010 LV108,0.09,S*,22.6,2010,Amor,Near
208,2010 NS36,0.0,C*,99.99,2010,Main,-1
209,2010 KU7,0.108,S*,22.2,2010,Amor,Near
210,2010 OH126,0.156,S*,21.4,2010,Apollo,Near
211,2010 PP58,0.113,S,22.1,2010,Apollo,Near
212,2010 PU66,0.103,S*,22.3,2010,Apollo,Near
213,2010 PW58,0.136,S,21.7,2010,Aten,Potentially
214,2015 TF,0.108,S*,22.2,2010,Apollo,Near
215,2010 QA5,0.103,S*,22.3,2010,Amor,Near
216,1996 GQ,0.071,S*,23.1,2010,Amor,Near
217,2014 FD7,0.149,S*,21.5,2010,Amor,Near
218,2010 CN141,0.098,S*,22.4,2010,Apollo,Near
219,2010 KP10,0.062,S*,23.4,2010,Apollo,Near
220,2010 JX16,0.0,S*,99.99,2010,Main,-1
221,2010 JN71,0.156,S*,21.4,2010,Apollo,Potentially
222,2010 GP67,0.094,S*,22.5,2010,Apollo,Near
223,2010 GS7,0.149,S*,21.5,2010,Apollo,Potentially
224,2010 HZ104,0.094,S*,22.5,2010,Apollo,Near
225,2010 KX7,0.124,S*,21.9,2010,Aten,Potentially
226,2010 HX107,0.057,S*,23.6,2010,Aten,Near
227,2009 UX17,0.149,S*,21.5,2010,Amor,Near
228,2010 HW81,0.156,S*,21.4,2010,Apollo,Near
229,2000 AA6,0.113,S*,22.1,2010,Apollo,Near
230,67P/Churyumov-Gerasimenko,,,,0,?,-1
231,Derm4c,0.103,S*,22.31,0,?,-1
232,Derm1a,0.079,S*,22.88,0,?,-1
233,Derm1c,0.133,S*,21.74,0,?,-1
234,Derm0f,0.135,S*,21.71,0,?,-1
235,93P/Lovas,,,,0,?,-1
236,1I/'Oumuamua,,,22.08,0,?,-1
237,94P/Russell 4,,,,0,?,-1
238,Derm2g,0.155,S*,21.41,0,?,-1
239,C/2017 T2  (PanSTARRS),,,,0,?,-1
240,Derm3h,0.094,S*,22.49,0,?,-1
241,Derm3k,0.107,S*,22.22,0,?,-1
242,Derm5i,0.149,S*,21.5,0,?,-1
243,49P/Arend-Rigaux,,C,,0,?,-1
244,Derm5f,0.13,S*,21.8,0,?,-1
245,P/2006 HR30,,C,,0,?,-1
246,Derm8e,0.094,S*,22.49,0,?,-1
247,P/2016 BA14,,,,0,?,-1
248,Derm7o,0.148,S*,21.52,0,?,-1
249,Mjolnir,0.142,S*,21.6,0,?,-1
250,YORP,0.086,S*,22.7,0,?,-1
251,P002RZ,,,,0,?,-1
252,P002I6,,,,0,?,-1
253,P001GV,,,,0,?,-1
254,P0012V,,,,0,?,-1
255,P000ZE,,,,0,?,-1
256,Derm7e,0.11,S*,22.14,0,?,-1
257,Derm7d,0.118,S*,22.0,0,?,-1
258,P002I1,,,,0,?,-1
259,47P/Ashbrook-Jackson,,,,0,?,-1
260,P000TQ,,,,0,?,-1
261,P000K7,,,,0,?,-1
262,Kamo`oalewa,0.041,S*,24.3,0,?,-1
263,Derm6k,0.117,S*,22.02,0,?,-1
264,Derm6f,0.103,S*,22.31,0,?,-1
265,P000DV,,,,0,?,-1
266,333P/LINEAR,,C,,0,?,-1
267,Derm6e,0.094,S*,22.5,0,?,-1
268,Derm6c,0.147,S*,21.53,0,?,-1
269,2016 GV221,0.031,S*,24.9,-1,Apollo,Near
270,2016 LO48,0.025,S*,25.4,-1,Amor,Near
271,2016 HO,0.022,S*,25.7,-1,Amor,Near
272,2016 EF28,0.136,S*,21.7,-1,Apollo,Potentially
273,2016 HN2,0.059,S*,23.5,-1,Apollo,Near
274,2016 QB2,0.045,S*,24.1,-1,Amor,Near
275,2016 GF216,0.031,S*,24.9,-1,Amor,Near
276,2016 HP3,0.054,S*,23.7,-1,Apollo,Near
277,2016 LG49,0.098,S*,22.4,-1,Apollo,Near
278,2016 PP27,0.057,S*,23.6,-1,Apollo,Near
279,2016 LG,0.026,S*,25.3,-1,Amor,Near
280,2016 DN2,0.012,S*,26.9,-1,Apollo,Near
281,2016 PJ66,0.113,S*,22.1,-1,Amor,Near
282,2016 DV1,0.033,S*,24.77,-1,Apollo,Near
283,2016 ED,0.054,S*,23.7,-1,Apollo,Near
284,2016 EC157,0.059,S*,23.5,-1,Aten,Near
285,2016 PU,0.142,S*,21.6,-1,Amor,Near
286,2016 EK27,0.108,S*,22.2,-1,Apollo,Near
287,2016 EB1,0.026,S*,25.3,-1,Apollo,Near
288,2016 PX8,0.012,S*,27.0,-1,Apollo,Near
289,2016 GS2,0.075,S*,23.0,-1,Apollo,Near
290,2016 MA,0.009,S*,27.5,-1,Apollo,Near
291,2016 NC1,0.025,S*,25.4,-1,Aten,Near
292,2016 GE1,0.014,S*,26.7,-1,Apollo,Near
293,2016 NK39,0.049,S*,23.9,-1,Amor,Near
294,2016 FW13,0.004,S*,29.5,-1,Apollo,Near
295,2016 PA40,0.039,S*,24.4,-1,Apollo,Near
296,2016 JP17,0.071,S*,23.1,-1,Apollo,Near
297,2016 NG38,0.028,S*,25.1,-1,Amor,Near
298,2016 JV,0.031,S*,24.9,-1,Amor,Near
299,2016 OJ1,0.142,S*,21.6,-1,Amor,Near
300,2016 FL12,0.016,S*,26.3,-1,Apollo,Near
301,2016 PA8,0.124,S*,21.9,-1,Apollo,Near
302,2016 NM15,0.009,S*,27.5,-1,Amor,Near
303,2016 FC,0.014,S*,26.6,-1,Apollo,Near
304,2016 FA,0.026,S*,25.3,-1,Aten,Near
305,2016 GW221,0.034,S*,24.7,-1,Aten,Near
306,2016 EV27,0.062,S*,23.4,-1,Apollo,Near
307,2016 NS,0.025,S*,25.4,-1,Amor,Near
308,2016 JG12,0.086,S*,22.7,-1,Apollo,Near
309,2016 NG33,0.149,S*,21.5,-1,Apollo,Potentially
310,2016 NA1,0.118,S*,22.0,-1,Amor,Near
311,2016 JD18,0.036,S*,24.6,-1,Apollo,Near
312,2016 EL157,0.011,S*,27.1,-1,Apollo,Near
313,2016 EN156,0.008,S*,27.8,-1,Apollo,Near
314,2016 NN15,0.014,S*,26.7,-1,Amor,Near
315,2016 GB222,0.013,S*,26.8,-1,Apollo,Near
316,2016 HQ19,0.052,S*,23.8,-1,Amor,Near
317,2016 PB8,0.094,S*,22.5,-1,Amor,Near
318,2016 EO84,0.1,S*,22.37,-1,Aten,Near
319,2016 JE18,0.016,S*,26.3,-1,Amor,Near
320,2016 ND1,0.026,S*,25.3,-1,Apollo,Near
321,2016 NF23,0.078,S*,22.9,-1,Aten,Near
322,2016 FZ2,0.036,S*,24.6,-1,Amor,Near
323,2016 EQ1,0.016,S*,26.3,-1,Apollo,Near
324,2016 FX2,0.054,S*,23.7,-1,Amor,Near
325,2016 ES1,0.043,S*,24.2,-1,Amor,Near
326,2016 HB,0.039,S*,24.4,-1,Apollo,Near
327,1991 VA,0.017,S*,26.21,-1,Apollo,Near
328,2016 DK,0.098,S*,22.4,-1,Amor,Near
329,2015 QT3,0.047,S*,24.0,-1,Apollo,Near
330,2015 MX103,0.039,S*,24.4,-1,Amor,Near
331,2015 MY53,0.025,S*,25.4,-1,Amor,Near
332,2015 OF26,0.142,S*,21.6,-1,Apollo,Near
333,2015 OM21,0.094,S*,22.5,-1,Amor,Near
334,2015 OQ21,0.008,S*,27.9,-1,Aten,Near
335,2015 OV,0.057,S*,23.6,-1,Apollo,Near
336,2015 PK9,0.054,S*,23.7,-1,Apollo,Near
337,2015 PQ,0.086,S*,22.7,-1,Amor,Near
338,2015 PQ56,0.09,S*,22.6,-1,Amor,Near
339,2015 PT227,0.049,S*,23.9,-1,Apollo,Near
340,2015 QA,0.078,S*,22.9,-1,Amor,Near
341,2015 QB,0.043,S*,24.2,-1,Amor,Near
342,2015 RF36,0.062,S*,23.4,-1,Aten,Near
343,2015 TC25,0.004,S*,29.34,-1,Apollo,Near
344,2015 RH36,0.057,S*,23.6,-1,Amor,Near
345,2015 RO36,0.078,S*,22.9,-1,Apollo,Near
346,2015 RQ36,0.037,S*,24.5,-1,Apollo,Near
347,2015 SA,0.026,S*,25.3,-1,Aten,Near
348,2015 SO2,0.049,S*,23.9,-1,Aten,Near
349,2015 SU,0.025,S*,25.4,-1,Amor,Near
350,2015 SU16,0.03,S*,25.0,-1,Amor,Near
351,2015 SV6,0.009,S*,27.7,-1,Apollo,Near
352,2015 SW6,0.038,S*,24.45,-1,Apollo,Near
353,2015 SY,0.065,S*,23.3,-1,Aten,Near
354,2015 SZ,0.059,S*,23.5,-1,Amor,Near
355,2015 SZ2,0.025,S*,25.4,-1,Apollo,Near
356,2015 MQ116,0.062,S*,23.4,-1,Apollo,Near
357,2015 MN44,0.098,S*,22.4,-1,Amor,Near
358,2015 ME116,0.103,S*,22.3,-1,Apollo,Near
359,2015 MC,0.045,S*,24.1,-1,Apollo,Near
360,2015 JF,0.016,S*,26.3,-1,Apollo,Near
361,2015 JH2,0.103,S*,22.3,-1,Amor,Near
362,2015 JJ2,0.13,S*,21.8,-1,Amor,Near
363,2015 JR,0.016,S*,26.3,-1,Apollo,Near
364,2015 JV,0.156,S*,21.4,-1,Apollo,Potentially
365,2015 JW,0.021,S*,25.8,-1,Amor,Near
366,2015 KA,0.017,S*,26.2,-1,Aten,Near
367,2015 KE,0.017,S*,26.2,-1,Aten,Near
368,2015 KJ19,0.095,S*,22.47,-1,Apollo,Near
369,2015 KL122,0.103,S*,22.3,-1,Amor,Near
370,2015 KM120,0.034,S*,24.7,-1,Amor,Near
371,2015 KO122,0.012,S*,27.04,-1,Apollo,Near
372,2015 KQ120,0.014,S*,26.7,-1,Apollo,Near
373,2015 KQ57,0.108,S*,22.2,-1,Apollo,Near
374,2015 KS121,0.082,S*,22.8,-1,Amor,Near
375,2015 KT56,0.018,S*,26.1,-1,Apollo,Near
376,2015 KU121,0.078,S*,22.9,-1,Apollo,Near
377,2015 KV18,0.052,S*,23.8,-1,Amor,Near
378,2015 KW120,0.019,S*,26.0,-1,Apollo,Near
379,2015 LA2,0.075,S*,23.0,-1,Aten,Near
380,2015 LG14,0.068,S*,23.2,-1,Amor,Near
381,2015 LH,0.011,S*,27.2,-1,Apollo,Near
382,2015 LJ,0.034,S*,24.7,-1,Amor,Near
383,2015 LN21,0.075,S*,23.0,-1,Amor,Near
384,2015 LQ21,0.037,S*,24.5,-1,Amor,Near
385,2015 TA,0.142,S*,21.6,-1,Amor,Near
386,2015 TD144,0.09,S*,22.6,-1,Apollo,Near
387,2016 CU29,0.014,S*,26.7,-1,Apollo,Near
388,2016 BC15,0.03,S*,25.0,-1,Amor,Near
389,2015 YD1,0.043,S*,24.2,-1,Amor,Near
390,2015 YE,0.062,S*,23.4,-1,Amor,Near
391,2016 QS11,0.02,S*,25.91,-1,Amor,Near
392,2015 YS9,0.019,S*,26.0,-1,Apollo,Near
393,2015 YU7,0.15,S*,21.49,-1,Aten,Potentially
394,2016 AF166,0.025,S*,25.4,-1,Apollo,Near
395,2016 AG166,0.047,S*,24.0,-1,Apollo,Near
396,2016 AO131,0.041,S*,24.31,-1,Apollo,Near
397,2016 AU65,0.086,S*,22.7,-1,Aten,Near
398,2016 AU9,0.025,S*,25.4,-1,Amor,Near
399,2016 AV164,0.031,S*,24.9,-1,Amor,Near
400,2016 BB15,0.039,S*,24.4,-1,Apollo,Near
401,2016 BE,0.058,S*,23.55,-1,Apollo,Near
402,2015 TG238,0.082,S*,22.8,-1,Amor,Near
403,2016 BF1,0.025,S*,25.4,-1,Apollo,Near
404,2016 BW14,0.021,S*,25.8,-1,Aten,Near
405,2016 CB138,0.054,S*,23.7,-1,Amor,Near
406,2016 CB30,0.059,S*,23.5,-1,Amor,Near
407,2016 CF29,0.031,S*,24.9,-1,Apollo,Near
408,2016 CG18,0.006,S*,28.5,-1,Aten,Near
409,2016 CJ30,0.04,S*,24.38,-1,Amor,Near
410,2016 CK29,0.021,S*,25.8,-1,Amor,Near
411,2016 CL29,0.036,S*,24.6,-1,Apollo,Near
412,2016 CM194,0.009,S*,27.7,-1,Apollo,Near
413,2016 CO29,0.03,S*,25.0,-1,Apollo,Near
414,2016 CS247,0.024,S*,25.5,-1,Apollo,Near
415,2015 YD,0.045,S*,24.1,-1,Amor,Near
416,2015 XU378,0.156,S*,21.4,-1,Amor,Potentially
417,2015 XO,0.018,S*,26.1,-1,Amor,Near
418,2015 XM128,0.052,S*,23.8,-1,Apollo,Near
419,2015 TJ1,0.09,S*,22.6,-1,Apollo,Near
420,2015 TL143,0.065,S*,23.3,-1,Amor,Near
421,2015 TL238,0.031,S*,24.9,-1,Apollo,Near
422,2015 TM143,0.055,S*,23.66,-1,Apollo,Near
423,2015 TW237,0.068,S*,23.2,-1,Amor,Near
424,2015 TY178,0.11,S*,22.16,-1,Amor,Near
425,2015 TZ143,0.016,S*,26.3,-1,Apollo,Near
426,2015 TZ237,0.043,S*,24.2,-1,Amor,Near
427,2015 UC,0.034,S*,24.7,-1,Amor,Near
428,2015 UJ51,0.156,S*,21.4,-1,Apollo,Near
429,2015 US51,0.098,S*,22.4,-1,Amor,Near
430,2015 VA106,0.086,S*,22.7,-1,Apollo,Near
431,2015 VE66,0.045,S*,24.1,-1,Amor,Near
432,2015 VG105,0.047,S*,24.0,-1,Amor,Near
433,2015 VN105,0.009,S*,27.6,-1,Apollo,Near
434,2015 VO105,0.045,S*,24.1,-1,Apollo,Near
435,2015 VO142,0.005,S*,28.9,-1,Apollo,Near
436,2015 VY105,0.005,S*,29.0,-1,Apollo,Near
437,2015 VZ2,0.09,S*,22.6,-1,Aten,Near
438,2015 WA13,0.018,S*,26.1,-1,Amor,Near
439,2015 WF13,0.068,S*,23.2,-1,Amor,Near
440,2015 XA379,0.026,S*,25.29,-1,Amor,Near
441,2015 XB,0.045,S*,24.1,-1,Apollo,Near
442,2015 XC,0.027,S*,25.2,-1,Apollo,Near
443,2015 XF,0.039,S*,24.4,-1,Amor,Near
444,2016 QL44,0.028,S*,25.1,-1,Apollo,Near
445,2017 JF3,0.13,S*,21.8,-1,Aten,Potentially
446,2016 RB1,0.007,S*,28.3,-1,Aten,Near
447,2016 RD20,0.033,S*,24.8,-1,Amor,Near
448,2020 KB3,0.033,S*,24.8,-1,Amor,Near
449,2020 KK7,0.017,S*,26.2,-1,Apollo,Near
450,2020 OH3,0.035,S*,24.65,-1,Apollo,Near
451,2020 RA6,0.019,S*,26.0,-1,Apollo,Near
452,2020 RO6,0.098,S*,22.4,-1,Apollo,Near
453,2020 RZ6,0.015,S*,26.54,-1,Apollo,Near
454,2020 SN,0.033,S*,24.8,-1,Amor,Near
455,2020 ST1,0.118,S*,22.0,-1,Amor,Potentially
456,2020 SW,0.005,S*,29.06,-1,Aten,Near
457,2020 TB12,0.098,S*,22.41,-1,Apollo,Near
458,2020 TD8,0.012,S*,26.9,-1,Apollo,Near
459,2020 TG3,0.086,S*,22.68,-1,Amor,Near
