Name	Diam	Class	H	time
2016 NS	0.025	S*	25.4	-1
2016 JG12	0.086	S*	22.7	-1
2016 NG33	0.149	S*	21.5	-1
2016 NA1	0.118	S*	22.0	-1
2016 JD18	0.036	S*	24.6	-1
2016 EL157	0.011	S*	27.1	-1
2016 EN156	0.008	S*	27.8	-1
2016 NN15	0.014	S*	26.7	-1
2016 GB222	0.013	S*	26.8	-1
2016 HQ19	0.052	S*	23.8	-1
2016 PB8	0.094	S*	22.5	-1
2016 EO84	0.1	S*	22.37	-1
2016 JE18	0.016	S*	26.3	-1
2016 ND1	0.026	S*	25.3	-1
2016 NF23	0.078	S*	22.9	-1
2016 FZ2	0.036	S*	24.6	-1
2016 EQ1	0.016	S*	26.3	-1
2016 FX2	0.054	S*	23.7	-1
2016 ES1	0.043	S*	24.2	-1
2016 HB	0.039	S*	24.4	-1
1991 VA	0.017	S*	26.21	-1
2016 DK	0.098	S*	22.4	-1
2015 QT3	0.047	S*	24.0	-1
2015 MX103	0.039	S*	24.4	-1
2015 MY53	0.025	S*	25.4	-1
2015 OF26	0.142	S*	21.6	-1
2015 OM21	0.094	S*	22.5	-1
2015 OQ21	0.008	S*	27.9	-1
2015 OV	0.057	S*	23.6	-1
2015 PK9	0.054	S*	23.7	-1
2015 PQ	0.086	S*	22.7	-1
2015 PQ56	0.09	S*	22.6	-1
2015 PT227	0.049	S*	23.9	-1
2015 QA	0.078	S*	22.9	-1
2015 QB	0.043	S*	24.2	-1
2015 RF36	0.062	S*	23.4	-1
2015 TC25	0.004	S*	29.34	-1
2015 RH36	0.057	S*	23.6	-1
2015 RO36	0.078	S*	22.9	-1
2015 RQ36	0.037	S*	24.5	-1
2015 SA	0.026	S*	25.3	-1
2015 SO2	0.049	S*	23.9	-1
2015 SU	0.025	S*	25.4	-1
2015 SU16	0.03	S*	25.0	-1
2015 SV6	0.009	S*	27.7	-1
2015 SW6	0.038	S*	24.45	-1
2015 SY	0.065	S*	23.3	-1
2015 SZ	0.059	S*	23.5	-1
2015 SZ2	0.025	S*	25.4	-1
2015 MQ116	0.062	S*	23.4	-1
2015 MN44	0.098	S*	22.4	-1
2015 ME116	0.103	S*	22.3	-1
2015 MC	0.045	S*	24.1	-1
2015 JF	0.016	S*	26.3	-1
2015 JH2	0.103	S*	22.3	-1
2015 JJ2	0.13	S*	21.8	-1
2015 JR	0.016	S*	26.3	-1
2015 JV	0.156	S*	21.4	-1
2015 JW	0.021	S*	25.8	-1
2015 KA	0.017	S*	26.2	-1
2015 KE	0.017	S*	26.2	-1
2015 KJ19	0.095	S*	22.47	-1
2015 KL122	0.103	S*	22.3	-1
2015 KM120	0.034	S*	24.7	-1
2015 KO122	0.012	S*	27.04	-1
2015 KQ120	0.014	S*	26.7	-1
2015 KQ57	0.108	S*	22.2	-1
2015 KS121	0.082	S*	22.8	-1
2015 KT56	0.018	S*	26.1	-1
2015 KU121	0.078	S*	22.9	-1
2015 KV18	0.052	S*	23.8	-1
2015 KW120	0.019	S*	26.0	-1
2015 LA2	0.075	S*	23.0	-1
2015 LG14	0.068	S*	23.2	-1
2015 LH	0.011	S*	27.2	-1
2015 LJ	0.034	S*	24.7	-1
2015 LN21	0.075	S*	23.0	-1
2015 LQ21	0.037	S*	24.5	-1
2015 TA	0.142	S*	21.6	-1
2015 TD144	0.09	S*	22.6	-1
2016 CU29	0.014	S*	26.7	-1
2016 BC15	0.03	S*	25.0	-1
2015 YD1	0.043	S*	24.2	-1
2015 YE	0.062	S*	23.4	-1
2016 QS11	0.02	S*	25.91	-1
2015 YS9	0.019	S*	26.0	-1
2015 YU7	0.15	S*	21.49	-1
2016 AF166	0.025	S*	25.4	-1
2016 AG166	0.047	S*	24.0	-1
2016 AO131	0.041	S*	24.31	-1
2016 AU65	0.086	S*	22.7	-1
2016 AU9	0.025	S*	25.4	-1
2016 AV164	0.031	S*	24.9	-1
2016 BB15	0.039	S*	24.4	-1
2016 BE	0.058	S*	23.55	-1
2015 TG238	0.082	S*	22.8	-1
2016 BF1	0.025	S*	25.4	-1
2016 BW14	0.021	S*	25.8	-1
2016 CB138	0.054	S*	23.7	-1
2016 CB30	0.059	S*	23.5	-1
2016 CF29	0.031	S*	24.9	-1
2016 CG18	0.006	S*	28.5	-1
2016 CJ30	0.04	S*	24.38	-1
2016 CK29	0.021	S*	25.8	-1
2016 CL29	0.036	S*	24.6	-1
2016 CM194	0.009	S*	27.7	-1
2016 CO29	0.03	S*	25.0	-1
2016 CS247	0.024	S*	25.5	-1
2015 YD	0.045	S*	24.1	-1
2015 XU378	0.156	S*	21.4	-1
2015 XO	0.018	S*	26.1	-1
2015 XM128	0.052	S*	23.8	-1
2015 TJ1	0.09	S*	22.6	-1
2015 TL143	0.065	S*	23.3	-1
2015 TL238	0.031	S*	24.9	-1
2015 TM143	0.055	S*	23.66	-1
2015 TW237	0.068	S*	23.2	-1
2015 TY178	0.11	S*	22.16	-1
2015 TZ143	0.016	S*	26.3	-1
2015 TZ237	0.043	S*	24.2	-1
2015 UC	0.034	S*	24.7	-1
2015 UJ51	0.156	S*	21.4	-1
2015 US51	0.098	S*	22.4	-1
2015 VA106	0.086	S*	22.7	-1
2015 VE66	0.045	S*	24.1	-1
2015 VG105	0.047	S*	24.0	-1
2015 VN105	0.009	S*	27.6	-1
2015 VO105	0.045	S*	24.1	-1
2015 VO142	0.005	S*	28.9	-1
2015 VY105	0.005	S*	29.0	-1
2015 VZ2	0.09	S*	22.6	-1
2015 WA13	0.018	S*	26.1	-1
2015 WF13	0.068	S*	23.2	-1
2015 XA379	0.026	S*	25.29	-1
2015 XB	0.045	S*	24.1	-1
2015 XC	0.027	S*	25.2	-1
2015 XF	0.039	S*	24.4	-1
2016 QL44	0.028	S*	25.1	-1
2017 JF3	0.13	S*	21.8	-1
2016 RB1	0.007	S*	28.3	-1
2016 RD20	0.033	S*	24.8	-1
2020 KB3	0.033	S*	24.8	-1
