,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
34,74,0.935482,123.466940,2.6963534500e+02,6.4274203000e+01,269.6358444,64.2740597,17h58m32.60s,64d16m26.61s,2.0323,2.4430,0.4192,16.403,null,1.7,7.207e-01,15.541,null,0.6,1.214e+00,11.060,0.353,3.1,9.113e-01,7.503,null,1.2,9.224e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55269.238265,null,null,null,null,null,null,null
35,76,0.527165,-158.239396,2.6964957300e+02,6.4259296000e+01,269.6494480,64.2591600,17h58m35.87s,64d15m32.98s,1.4189,1.6568,0.2273,16.653,null,1.1,7.770e-01,15.191,null,1.6,9.348e-01,10.705,0.252,4.3,1.203e+00,7.660,0.403,2.7,8.952e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55269.304608,null,null,null,null,null,null,null
36,79,0.424616,5.529938,2.6971918500e+02,6.4183501000e+01,269.7192111,64.1836184,17h58m52.61s,64d11m01.03s,1.6092,1.9077,0.2909,17.149,null,null,6.965e-01,14.962,null,1.9,1.947e+00,10.727,0.264,4.1,9.495e-01,7.951,null,null,1.168e+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55269.635304,null,null,null,null,null,null,null
37,80,2.073476,-4.225558,2.6973312100e+02,6.4168447000e+01,269.7330236,64.1690214,17h58m55.93s,64d10m08.48s,1.9473,2.0204,0.5438,17.069,null,null,2.433e+00,15.634,null,0.3,5.984e-01,10.885,0.340,3.2,1.358e+00,7.837,0.495,2.2,7.963e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55269.701647,null,null,null,null,null,null,null
38,83,1.453394,-158.527513,2.6977405700e+02,6.4122464000e+01,269.7737184,64.1220883,17h59m05.69s,64d07m19.52s,1.7169,2.0259,0.4487,16.888,null,0.3,8.794e-01,15.164,null,1.7,8.308e-01,10.799,0.276,3.9,9.220e-01,7.986,null,null,7.761e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55269.899912,null,null,null,null,null,null,null
39,85,1.808792,161.761168,2.6978780200e+02,6.4107310000e+01,269.7881621,64.1068328,17h59m09.16s,64d06m24.60s,1.7675,2.0318,-0.0846,16.662,null,1.1,6.855e-01,15.430,null,0.4,5.908e-01,10.876,0.298,3.6,1.887e+00,7.209,null,1.9,1.649e+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55269.966255,null,null,null,null,null,null,null
40,86,0.625415,-89.637034,2.6980130600e+02,6.4091905000e+01,269.8009084,64.0919061,17h59m12.22s,64d05m30.86s,1.4039,1.5919,0.1602,17.293,null,null,5.468e-01,15.598,0.443,2.5,1.746e+00,10.708,0.263,4.1,6.525e-01,7.753,0.459,2.4,1.368e+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55270.032344,null,null,null,null,null,null,null
41,87,1.375495,91.949422,2.6982826700e+02,6.4061129000e+01,269.8291400,64.0611160,17h59m18.99s,64d03m40.02s,1.4866,1.8373,0.2654,16.781,null,0.7,6.660e-01,15.518,null,0.5,9.535e-01,10.454,0.207,5.3,1.702e+00,7.393,null,1.2,9.583e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55270.164648,null,null,null,null,null,null,null
42,88,1.860581,-60.804565,2.6984182100e+02,6.4045872000e+01,269.8407901,64.0461241,17h59m21.79s,64d02m46.05s,1.3467,1.4587,0.1834,16.342,0.264,4.1,1.397e+00,15.435,null,0.8,7.522e-01,11.014,0.338,3.2,1.619e+00,7.975,null,0.0,9.384e-01,1,0,0.000,0.000,0.000,0.000,0000,BUBU,1,55270.230991,null,null,null,null,null,null,null
43,89,4.263427,41.358613,2.6985504100e+02,6.4030250000e+01,269.8568281,64.0311389,17h59m25.64s,64d01m52.10s,0.1430,0.1656,-0.0298,12.562,0.032,34.1,4.802e-01,12.619,0.052,20.9,1.023e+00,11.315,0.465,2.3,1.067e+00,7.314,null,1.1,1.082e+00,3,0,0.000,0.000,0.000,0.000,0000,AACU,1,55270.296952,687245905,13.227,0.022,12.748,0.023,12.676,0.025
