,Name,Diam,Class,H,time,type,PHA
408,2015JF,0.016,S*,26.3,-1,Apollo,Near
409,2015JH2,0.103,S*,22.3,-1,Amor,Near
410,2015JJ2,0.13,S*,21.8,-1,Amor,Near
411,2015JR,0.016,S*,26.3,-1,Apollo,Near
412,2015JW,0.021,S*,25.8,-1,Amor,Near
413,2015KA,0.017,S*,26.2,-1,Aten,Near
414,2015KE,0.017,S*,26.2,-1,Aten,Near
415,2015KJ19,0.095,S*,22.47,-1,Apollo,Near
416,2015KL122,0.103,S*,22.3,-1,Amor,Near
417,2015KM120,0.034,S*,24.7,-1,Amor,Near
418,2015KO122,0.012,S*,27.04,-1,Apollo,Near
419,2015KQ120,0.014,S*,26.7,-1,Apollo,Near
420,2015KQ57,0.108,S*,22.2,-1,Apollo,Near
421,2015KS121,0.082,S*,22.8,-1,Amor,Near
422,2015KT56,0.018,S*,26.1,-1,Apollo,Near
423,2015KU121,0.078,S*,22.9,-1,Apollo,Near
424,2015KV18,0.052,S*,23.8,-1,Amor,Near
425,2015KW120,0.019,S*,26.0,-1,Apollo,Near
426,2015LA2,0.075,S*,23.0,-1,Aten,Near
427,2015LG14,0.068,S*,23.2,-1,Amor,Near
428,2015LH,0.011,S*,27.2,-1,Apollo,Near
429,2015LJ,0.034,S*,24.7,-1,Amor,Near
430,2015LN21,0.075,S*,23.0,-1,Amor,Near
431,2015LQ21,0.037,S*,24.5,-1,Amor,Near
432,2015TA,0.142,S*,21.6,-1,Amor,Near
433,2015TD144,0.09,S*,22.6,-1,Apollo,Near
434,2016CU29,0.014,S*,26.7,-1,Apollo,Near
435,2016BC15,0.03,S*,25.0,-1,Amor,Near
436,2015YD1,0.043,S*,24.2,-1,Amor,Near
437,2015YE,0.062,S*,23.4,-1,Amor,Near
438,2016QS11,0.02,S*,25.91,-1,Amor,Near
439,2015YS9,0.019,S*,26.0,-1,Apollo,Near
440,2016AF166,0.025,S*,25.4,-1,Apollo,Near
441,2016AG166,0.047,S*,24.0,-1,Apollo,Near
442,2016AO131,0.041,S*,24.31,-1,Apollo,Near
443,2016AU65,0.086,S*,22.7,-1,Aten,Near
444,2016AU9,0.025,S*,25.4,-1,Amor,Near
445,2016AV164,0.031,S*,24.9,-1,Amor,Near
446,2016BB15,0.039,S*,24.4,-1,Apollo,Near
447,2016BE,0.058,S*,23.55,-1,Apollo,Near
448,2015TG238,0.082,S*,22.8,-1,Amor,Near
449,2016BF1,0.025,S*,25.4,-1,Apollo,Near
450,2016BW14,0.021,S*,25.8,-1,Aten,Near
451,2016CB138,0.054,S*,23.7,-1,Amor,Near
452,2016CB30,0.059,S*,23.5,-1,Amor,Near
453,2016CF29,0.031,S*,24.9,-1,Apollo,Near
454,2016CG18,0.006,S*,28.5,-1,Aten,Near
455,2016CJ30,0.04,S*,24.38,-1,Amor,Near
456,2016CK29,0.021,S*,25.8,-1,Amor,Near
457,2016CL29,0.036,S*,24.6,-1,Apollo,Near
458,2016CM194,0.009,S*,27.7,-1,Apollo,Near
459,2016CO29,0.03,S*,25.0,-1,Apollo,Near
